ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,LD-Alanina  Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Irradiada Petri,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri,D-Alanina  Magnetizada Petri
3979.0,99.702897,98.11775,97.312492,97.94001,97.982697,97.894384,97.040457,97.614448,97.983427,97.874052,98.082358,98.093781,98.367871,97.806154,98.341817,99.247035,98.400327,98.395861,98.52079,98.175347,97.510245,98.553897,97.984947,97.63795
3978.0,99.697371,98.109688,97.316031,97.942256,97.987453,97.898317,97.036262,97.605748,97.988788,97.879296,98.088243,98.095764,98.373794,97.811919,98.34683,99.245942,98.400399,98.398914,98.518998,98.176069,97.520663,98.558963,97.986131,97.636593
3977.0,99.693128,98.112806,97.318214,97.948121,97.988762,97.902296,97.0311,97.597346,97.995281,97.886665,98.09546,98.095623,98.380373,97.819872,98.353005,99.239542,98.402367,98.412386,98.523054,98.179026,97.529007,98.56517,97.990961,97.636402
3976.0,99.690494,98.124691,97.317373,97.95406,97.984818,97.904745,97.021427,97.593328,98.001268,97.891386,98.100627,98.093582,98.384978,97.826707,98.359933,99.230478,98.404333,98.431027,98.531138,98.181086,97.533798,98.571399,97.998992,97.636538
3975.0,99.688445,98.137747,97.316102,97.95695,97.976936,97.904547,97.008061,97.595698,98.005336,97.892009,98.101635,98.09219,98.387626,97.830474,98.366219,99.224513,98.406031,98.446464,98.539098,98.179013,97.535204,98.576163,98.009195,97.636245
3974.0,99.685864,98.14331,97.31715,97.956537,97.968617,97.902094,96.995894,97.601736,98.007384,97.890693,98.098902,98.09322,98.389781,97.832236,98.370057,99.22572,98.408408,98.453597,98.543201,98.172485,97.534839,98.578619,98.020092,97.635397
3973.0,99.681685,98.136816,97.318689,97.953805,97.962974,97.898757,96.988479,97.605098,98.007624,97.890564,98.093874,98.094598,98.391757,97.834441,98.370322,99.23207,98.411317,98.45323,98.54204,98.163615,97.534583,98.579121,98.028455,97.6338
3972.0,99.67501,98.120646,97.315515,97.948546,97.960852,97.895667,96.98503,97.601066,98.00587,97.893591,98.087632,98.092093,98.392011,97.83792,98.367506,99.236836,98.413013,98.449375,98.536725,98.154259,97.535334,98.578513,98.030269,97.631335
3971.0,99.666516,98.102393,97.305161,97.939731,97.961078,97.89333,96.983343,97.590814,98.00297,97.900693,98.081301,98.084683,98.389348,97.841267,98.36389,99.234989,98.412634,98.445282,98.530134,98.145075,97.53694,98.577107,98.02467,97.629392
3970.0,99.659636,98.089857,97.291682,97.927964,97.961594,97.89169,96.983943,97.580214,98.00232,97.912359,98.076838,98.076825,98.3854,97.842839,98.362218,99.227994,98.412393,98.442101,98.525736,98.137216,97.53877,98.574367,98.016359,97.630973
