ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada Irradiada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Irradiada Petri	D-Alanina Magnetizada Irradiada Petri	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3955.0	99.661097	97.295458	97.017961	97.603386	98.032476	98.090877	98.077312	99.240048	98.441752	98.558701	98.015196	97.664069
3954.0	99.670981	97.315607	97.027711	97.609224	98.040854	98.096214	98.079057	99.240123	98.442134	98.562226	98.022171	97.674571
3953.0	99.684875	97.333896	97.039965	97.617453	98.046723	98.108752	98.085031	99.239312	98.44417	98.571026	98.030372	97.685095
3952.0	99.701586	97.347659	97.050991	97.627687	98.050118	98.127127	98.097358	99.242123	98.447347	98.583539	98.039403	97.692995
3951.0	99.714515	97.355664	97.057717	97.638382	98.05159	98.14717	98.114385	99.250312	98.450392	98.59481	98.045298	97.694722
3950.0	99.717188	97.359304	97.060391	97.649135	98.052402	98.16421	98.132191	99.261711	98.454017	98.600624	98.044734	97.690745
3949.0	99.709681	97.36193	97.061168	97.660145	98.053876	98.1747	98.147091	99.272214	98.460688	98.600572	98.038533	97.685948
3948.0	99.698957	97.36608	97.061207	97.670079	98.056591	98.176798	98.157355	99.278964	98.471227	98.597697	98.03082	97.685025
3947.0	99.692295	97.371189	97.060162	97.675589	98.060494	98.170178	98.163539	99.281925	98.482503	98.595819	98.025521	97.688264
3946.0	99.691012	97.37417	97.057854	97.673626	98.065672	98.155875	98.167214	99.282696	98.489275	98.597068	98.024257	97.6921
3945.0	99.690895	97.372436	97.055372	97.664628	98.072724	98.136821	98.169018	99.282344	98.488452	98.600869	98.026659	97.692933
3944.0	99.688521	97.366772	97.054744	97.653554	98.082012	98.118506	98.168274	99.280764	98.482046	98.604872	98.031782	97.690281
3943.0	99.686026	97.360987	97.057708	97.64731	98.092004	98.107621	98.164877	99.278306	98.47593	98.607432	98.039651	97.68685
3942.0	99.688206	97.358051	97.063407	97.649146	98.098504	98.106955	98.1604	99.276123	98.475053	98.6092	98.050399	97.68481
3941.0	99.695109	97.356911	97.068178	97.655594	98.096814	98.111832	98.155952	99.273908	98.479325	98.611376	98.0619	97.682933
3940.0	99.700075	97.354257	97.068746	97.660464	98.085685	98.113912	98.150195	99.269236	98.484206	98.612861	98.070174	97.678874
3939.0	99.696279	97.348786	97.065183	97.660874	98.069167	98.108307	98.141614	99.26075	98.484842	98.61074	98.072604	97.673241
3938.0	99.68452	97.342749	97.060586	97.658097	98.054534	98.09686	98.132181	99.251178	98.48	98.60376	98.069923	97.669677
3937.0	99.673592	97.339094	97.057945	97.653771	98.04735	98.085317	98.127005	99.246022	98.47251	98.594561	98.065431	97.670247
3936.0	99.671992	97.337842	97.057535	97.64708	98.047824	98.077772	98.128974	99.248266	98.466152	98.587132	98.061906	97.671709
3935.0	99.680063	97.335994	97.057669	97.63705	98.051564	98.074437	98.134556	99.255003	98.461915	98.582323	98.059435	97.668327
3934.0	99.690437	97.330979	97.056469	97.625456	98.05386	98.072623	98.136647	99.259336	98.457273	98.57726	98.055223	97.65776
3933.0	99.695231	97.323891	97.052911	97.616686	98.053851	98.069584	98.131609	99.255967	98.449578	98.569388	98.046349	97.643934
3932.0	99.692177	97.319015	97.046706	97.614809	98.054878	98.064738	98.123177	99.245623	98.440017	98.560356	98.033883	97.633821
3931.0	99.684342	97.319752	97.038755	97.621122	98.060491	98.060221	98.118378	99.234669	98.433132	98.554372	98.023954	97.632159
3930.0	99.676154	97.325199	97.030653	97.633378	98.069941	98.058514	98.120627	99.23031	98.431857	98.553557	98.022736	97.638565
3929.0	99.670487	97.330579	97.02239	97.645665	98.077632	98.058242	98.127633	99.235302	98.434409	98.556628	98.029481	97.647489
3928.0	99.667598	97.330738	97.012597	97.651588	98.07719	98.054232	98.133769	99.246344	98.43677	98.561131	98.036213	97.651777
3927.0	99.665541	97.323895	97.001845	97.649968	98.066754	98.043024	98.133386	99.257044	98.437331	98.565466	98.035256	97.647956
3926.0	99.662922	97.313172	96.993986	97.646383	98.051134	98.027375	98.124178	99.262138	98.438086	98.569252	98.026182	97.63845
3925.0	99.661995	97.304529	96.993435	97.648141	98.038732	98.014445	98.110438	99.261279	98.441207	98.573354	98.01649	97.629159
3924.0	99.666124	97.302289	97.000851	97.656355	98.034995	98.008934	98.101052	99.259134	98.445587	98.578864	98.014508	97.623821
3923.0	99.673735	97.306684	97.013073	97.664328	98.038639	98.010414	98.101417	99.260698	98.447802	98.584997	98.021659	97.62167
3922.0	99.678672	97.315384	97.027348	97.665353	98.043626	98.017484	98.108574	99.267701	98.445388	98.589258	98.033414	97.621213
