ν,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri
3935.0,98.051564,97.946156,98.074437,98.134556,98.396554,97.887926,98.43123,99.255003
3934.0,98.05386,97.942395,98.072623,98.136647,98.389087,97.891931,98.428987,99.259336
3933.0,98.053851,97.938874,98.069584,98.131609,98.375699,97.89535,98.427709,99.255967
3932.0,98.054878,97.93558,98.064738,98.123177,98.359744,97.896609,98.426935,99.245623
3931.0,98.060491,97.933971,98.060221,98.118378,98.346634,97.896023,98.425615,99.234669
3930.0,98.069941,97.935819,98.058514,98.120627,98.340552,97.894813,98.423806,99.23031
3929.0,98.077632,97.940473,98.058242,98.127633,98.342074,97.893819,98.422557,99.235302
3928.0,98.07719,97.944077,98.054232,98.133769,98.348121,97.893194,98.422475,99.246344
3927.0,98.066754,97.942547,98.043024,98.133386,98.354236,97.892819,98.42307,99.257044
3926.0,98.051134,97.935806,98.027375,98.124178,98.357517,97.893137,98.423255,99.262138
3925.0,98.038732,97.928667,98.014445,98.110438,98.358384,97.894312,98.421694,99.261279
3924.0,98.034995,97.926397,98.008934,98.101052,98.359769,97.894943,98.417287,99.259134
3923.0,98.038639,97.929655,98.010414,98.101417,98.363994,97.893105,98.41042,99.260698
3922.0,98.043626,97.934482,98.017484,98.108574,98.370037,97.887818,98.403232,99.267701
3921.0,98.04429,97.936518,98.029304,98.115776,98.373902,97.879851,98.398065,99.278377
3920.0,98.039476,97.934297,98.042936,98.119569,98.372314,97.871405,98.395384,99.289102
3919.0,98.033025,97.929043,98.052675,98.121059,98.366312,97.86487,98.393267,99.295943
3918.0,98.030319,97.922555,98.054876,98.121552,98.360289,97.861251,98.389342,99.296268
3917.0,98.033896,97.916476,98.051856,98.120449,98.357481,97.859814,98.383416,99.290454
3916.0,98.042158,97.913103,98.048686,98.117656,98.357725,97.859851,98.378129,99.281781
3915.0,98.051332,97.914799,98.047783,98.115051,98.359719,97.861817,98.376901,99.274012
3914.0,98.057758,97.921799,98.048543,98.113922,98.363393,97.865978,98.381203,99.268893
3913.0,98.05878,97.931442,98.050263,98.113579,98.369039,97.870884,98.389308,99.265716
3912.0,98.053748,97.940247,98.054048,98.112693,98.375593,97.874283,98.39726,99.262942
3911.0,98.044716,97.946489,98.061789,98.111949,98.380925,97.875638,98.401806,99.259846
3910.0,98.035808,97.951067,98.074462,98.11325,98.383628,97.876787,98.402749,99.257177
3909.0,98.030839,97.955883,98.090464,98.117325,98.384064,97.87964,98.40294,99.256608
3908.0,98.031104,97.96138,98.104679,98.121929,98.383219,97.885078,98.406131,99.258467
3907.0,98.035128,97.965543,98.112174,98.122914,98.381333,97.892716,98.414457,99.260992
3906.0,98.04016,97.965231,98.113731,98.117794,98.378411,97.901296,98.426461,99.261883
3905.0,98.044665,97.959097,98.118542,98.109951,98.375683,97.907978,98.43672,99.261934
3904.0,98.049843,97.949427,98.1358,98.109491,98.375843,97.908574,98.439102,99.266555
3903.0,98.058119,97.94038,98.16167,98.125036,98.38057,97.902105,98.432819,99.279876
3902.0,98.069747,97.934067,98.181433,98.152955,98.388249,97.893911,98.423969,99.297797
3901.0,98.081188,97.929272,98.185298,98.177515,98.394626,97.890919,98.41997,99.310227
3900.0,98.087657,97.924047,98.176528,98.184418,98.396156,97.895468,98.423735,99.309167
3899.0,98.087815,97.918885,98.164792,98.173821,98.393212,97.904107,98.432907,99.295765
3898.0,98.084859,97.916348,98.155105,98.15789,98.389548,97.912282,98.443427,99.278899
3897.0,98.082796,97.918332,98.146457,98.147699,98.388472,97.918438,98.452552,99.267384
3896.0,98.082774,97.924738,98.137607,98.145827,98.390338,97.922844,98.458933,99.264698
3895.0,98.082839,97.933834,98.128117,98.149703,98.393757,97.926025,98.461834,99.268016
3894.0,98.080606,97.943249,98.117262,98.155419,98.398448,97.92913,98.460901,99.270196
3893.0,98.075851,97.951153,98.106851,98.158651,98.405811,97.932686,98.456363,99.265984
3892.0,98.07092,97.957215,98.104365,98.155213,98.41504,97.934135,98.449504,99.258371
3891.0,98.068057,97.961982,98.116293,98.146374,98.420642,97.928383,98.442961,99.256915
3890.0,98.067212,97.965247,98.136656,98.138902,98.417635,97.91577,98.439464,99.265035
3889.0,98.067134,97.965031,98.151872,98.137833,98.407779,97.903009,98.439363,99.275417
3888.0,98.067126,97.959606,98.152568,98.140692,98.398464,97.895953,98.440871,99.277686
3887.0,98.067735,97.951563,98.141045,98.139162,98.395653,97.895768,98.442929,99.267222
3886.0,98.070339,97.947281,98.130376,98.129487,98.397902,97.899726,98.445765,99.251067
3885.0,98.075532,97.950086,98.130643,98.120127,98.398135,97.903394,98.448613,99.244766
3884.0,98.082871,97.956864,98.138146,98.122019,98.393979,97.90545,98.449439,99.256767
3883.0,98.092776,97.962825,98.144398,98.135665,98.392477,97.908213,98.447484,99.279491
3882.0,98.106177,97.967115,98.146898,98.15106,98.402045,97.913495,98.444828,99.296141
3881.0,98.121329,97.972283,98.148888,98.157386,98.421941,97.920556,98.444971,99.293992
3880.0,98.132451,97.979553,98.152145,98.153053,98.440628,97.92628,98.449633,99.27515
3879.0,98.133725,97.987037,98.153212,98.144927,98.446111,97.927523,98.457154,99.254151
3878.0,98.124278,97.992566,98.14732,98.139183,98.436845,97.925363,98.463844,99.242634
3877.0,98.108809,97.996301,98.135166,98.136931,98.42067,97.922867,98.466542,99.242704
3876.0,98.095131,98.000926,98.124099,98.135227,98.406708,97.921827,98.465635,99.250008
3875.0,98.089141,98.008873,98.124417,98.131515,98.399493,97.922027,98.465138,99.258987
3874.0,98.089434,98.018338,98.138913,98.129349,98.398345,97.921167,98.468207,99.267388
3873.0,98.089368,98.023602,98.156425,98.136177,98.400989,97.917278,98.473233,99.276233
3872.0,98.085428,98.019889,98.162983,98.152084,98.406205,97.912772,98.475979,99.284826
3871.0,98.081029,98.007845,98.16107,98.164876,98.412372,97.913203,98.474662,99.289257
3870.0,98.081399,97.992957,98.167874,98.163512,98.415779,97.920605,98.471867,99.287078
3869.0,98.086802,97.98065,98.187175,98.153473,98.413432,97.931551,98.471323,99.279783
3868.0,98.093963,97.973093,98.202516,98.147777,98.407865,97.941749,98.473669,99.27062
3867.0,98.10109,97.970246,98.201492,98.149964,98.405392,97.947097,98.476687,99.263278
3866.0,98.1074,97.972537,98.187837,98.152804,98.408945,97.944688,98.47898,99.259285
3865.0,98.111245,97.979915,98.173507,98.149755,98.414593,97.93716,98.480766,99.255729
3864.0,98.111542,97.988747,98.166679,98.142408,98.41595,97.931271,98.481166,99.249848
3863.0,98.110205,97.994317,98.166868,98.137165,98.41194,97.930468,98.478128,99.244347
3862.0,98.111365,97.996746,98.170493,98.137769,98.408308,97.930815,98.471177,99.246563
3861.0,98.116426,98.000166,98.173899,98.144113,98.410571,97.926866,98.462689,99.260703
3860.0,98.121645,98.006131,98.174653,98.151746,98.417149,97.919416,98.456763,99.281268
3859.0,98.121701,98.010666,98.175599,98.154443,98.420644,97.914426,98.457264,99.29667
3858.0,98.114957,98.008259,98.183685,98.148799,98.41425,97.916479,98.46542,99.299746
3857.0,98.104564,97.997129,98.199593,98.138446,98.397506,97.924433,98.478364,99.293704
3856.0,98.094839,97.981512,98.209711,98.131998,98.378162,97.933774,98.490175,99.286948
3855.0,98.088255,97.96935,98.199369,98.13313,98.368153,97.941353,98.496505,99.280677
3854.0,98.085596,97.96281,98.186402,98.133678,98.369959,97.941467,98.496263,99.27161
3853.0,98.084159,97.953283,98.195136,98.129411,98.36962,97.9258,98.48868,99.264368
3852.0,98.080882,97.935009,98.208461,98.126958,98.358888,97.902908,98.476275,99.260699
3851.0,98.079491,97.914443,98.204297,98.130251,98.34685,97.89313,98.46438,99.254566
3850.0,98.086057,97.90345,98.191024,98.137581,98.346915,97.900104,98.455355,99.249062
3849.0,98.100874,97.910168,98.183975,98.147182,98.366625,97.913597,98.449638,99.252194
3848.0,98.118,97.932638,98.188219,98.158967,98.400199,97.923563,98.44697,99.266941
3847.0,98.129928,97.960938,98.198287,98.172384,98.433101,97.92698,98.447234,99.287663
3846.0,98.132575,97.985906,98.20652,98.184452,98.454171,97.926199,98.450764,99.304728
3845.0,98.126409,98.004482,98.208778,98.19107,98.460437,97.92411,98.457599,99.312294
3844.0,98.114569,98.017569,98.205471,98.189413,98.454884,97.922098,98.46689,99.311348
3843.0,98.10052,98.024984,98.199889,98.181255,98.442417,97.921177,98.477597,99.305847
3842.0,98.08751,98.023927,98.196181,98.171301,98.42784,97.921852,98.488789,99.29933
3841.0,98.078331,98.012025,98.19554,98.161719,98.415302,97.924089,98.499447,99.292659
3840.0,98.075309,97.992278,98.195127,98.149517,98.408008,97.927888,98.507886,99.283798
3839.0,98.079686,97.974457,98.191503,98.133417,98.40795,97.93242,98.511714,99.271982
3838.0,98.089997,97.968423,98.184575,98.119823,98.414968,97.936183,98.509349,99.260831
3837.0,98.101882,97.975935,98.178138,98.11819,98.427022,97.938543,98.501875,99.254961
3836.0,98.111131,97.990959,98.175658,98.130892,98.441916,97.941213,98.492346,99.254357
3835.0,98.117163,98.005907,98.177583,98.151058,98.457266,97.946385,98.483503,99.254831
3834.0,98.122527,98.015659,98.181969,98.16812,98.469289,97.953589,98.476568,99.254033
3833.0,98.129111,98.018267,98.18612,98.174967,98.473221,97.960274,98.472118,99.253623
3832.0,98.135661,98.014398,98.188919,98.172663,98.466599,97.963761,98.471069,99.256906
3831.0,98.138971,98.006817,98.190455,98.16879,98.452607,97.962624,98.473809,99.264982
3830.0,98.136944,97.999577,98.190035,98.169695,98.43944,97.957749,98.478538,99.274174
3829.0,98.130814,97.997316,98.187885,98.175508,98.436073,97.950909,98.481494,99.27923
3828.0,98.124747,98.003754,98.187201,98.180475,98.446306,97.943405,98.480358,99.27884
3827.0,98.121987,98.018066,98.191304,98.178298,98.463797,97.937055,98.477608,99.276132
3826.0,98.120875,98.032828,98.197859,98.167766,98.474093,97.934139,98.478436,99.274828
3825.0,98.115447,98.038243,98.197197,98.153268,98.465741,97.935717,98.484589,99.275457
3824.0,98.100933,98.029967,98.17952,98.139576,98.440625,97.940539,98.491906,99.27492
3823.0,98.079647,98.014249,98.146639,98.127883,98.415579,97.946134,98.494998,99.268771
3822.0,98.062807,98.003786,98.121524,98.115553,98.411235,97.950149,98.493103,99.257244
3821.0,98.061525,98.003824,98.129643,98.103788,98.431227,97.949284,98.490042,99.24974
3820.0,98.074767,98.005963,98.163056,98.099533,98.457236,97.943707,98.489732,99.25334
3819.0,98.093829,97.999674,98.192988,98.104779,98.468607,97.940741,98.492692,99.261942
3818.0,98.111964,97.985642,98.206343,98.113847,98.460234,97.945088,98.495434,99.267075
3817.0,98.126245,97.976399,98.21166,98.119562,98.443971,97.953491,98.494997,99.267088
3816.0,98.136683,97.982177,98.221885,98.123067,98.43434,97.959561,98.492517,99.265296
3815.0,98.144131,97.998321,98.233995,98.132667,98.434098,97.960788,98.490682,99.264615
3814.0,98.148096,98.011733,98.235494,98.149521,98.437854,97.960569,98.489895,99.26429
3813.0,98.147087,98.01582,98.225543,98.164209,98.442053,97.961719,98.488722,99.263017
3812.0,98.140447,98.015057,98.213514,98.168179,98.446386,97.962197,98.486394,99.262462
3811.0,98.129922,98.016666,98.203696,98.162271,98.450223,97.959551,98.483215,99.264596
3810.0,98.120083,98.020806,98.191704,98.153873,98.452065,97.954066,98.479158,99.268296
3809.0,98.116409,98.021339,98.174225,98.14716,98.452629,97.947419,98.473722,99.269638
3808.0,98.121093,98.014286,98.161087,98.139073,98.454406,97.940087,98.468025,99.26663
3807.0,98.130107,98.003471,98.167831,98.129313,98.457506,97.93107,98.465709,99.263079
3806.0,98.13626,97.996517,98.193471,98.127533,98.459159,97.920482,98.469625,99.264808
3805.0,98.136142,97.995927,98.219822,98.143267,98.457536,97.911505,98.478301,99.27124
3804.0,98.132397,97.998024,98.232391,98.173042,98.453837,97.906261,98.486597,99.276038
3803.0,98.128964,97.999338,98.230588,98.198747,98.450918,97.905272,98.490182,99.272007
3802.0,98.126781,97.999538,98.227683,98.201259,98.449654,97.908776,98.489054,99.258377
3801.0,98.123955,97.999911,98.232925,98.183992,98.448262,97.913456,98.48665,99.247169
3800.0,98.11976,98.002137,98.235045,98.167489,98.446416,97.917889,98.486105,99.249863
3799.0,98.117456,98.007056,98.223881,98.162537,98.446591,97.925708,98.487311,99.264372
3798.0,98.120876,98.014764,98.207679,98.164308,98.451562,97.938014,98.48771,99.281528
3797.0,98.129007,98.024289,98.20031,98.163922,98.460546,97.951795,98.485432,99.292444
3796.0,98.135953,98.032069,98.205464,98.159754,98.467116,97.962824,98.480843,99.293423
3795.0,98.137367,98.035294,98.214802,98.156804,98.465581,97.968493,98.47589,99.28809
3794.0,98.134838,98.035702,98.219889,98.158929,98.458238,97.969463,98.472507,99.283069
3793.0,98.133009,98.037234,98.220432,98.165661,98.452798,97.969022,98.471896,99.281221
3792.0,98.134611,98.041032,98.220124,98.175174,98.454725,97.970661,98.47457,99.280044
3791.0,98.138466,98.043501,98.219662,98.185434,98.462088,97.97586,98.479863,99.275537
3790.0,98.141146,98.040019,98.216741,98.193281,98.467318,97.981971,98.485423,99.267671
3789.0,98.140349,98.030601,98.209472,98.19565,98.464632,97.983443,98.488227,99.261705
3788.0,98.136554,98.020431,98.197833,98.19274,98.455143,97.977375,98.487005,99.263119
3787.0,98.131874,98.015191,98.183946,98.188084,98.445102,97.967487,98.483771,99.271999
3786.0,98.127435,98.01696,98.172284,98.184626,98.439748,97.961392,98.482549,99.282714
3785.0,98.12199,98.0237,98.167798,98.181984,98.438725,97.963078,98.485581,99.289177
3784.0,98.114132,98.031296,98.171769,98.178541,98.438226,97.968733,98.490682,99.290223
3783.0,98.105859,98.035813,98.180205,98.17464,98.437612,97.970879,98.492701,99.289574
3782.0,98.102803,98.035577,98.188161,98.172422,98.442083,97.965716,98.487931,99.291095
3781.0,98.109898,98.032809,98.194786,98.173779,98.457454,97.956313,98.477541,99.294992
3780.0,98.125689,98.032294,98.203351,98.178571,98.481518,97.949801,98.467107,99.298234
3779.0,98.141022,98.035806,98.214204,98.185255,98.502474,97.950732,98.462306,99.29768
3778.0,98.146279,98.038793,98.221101,98.190825,98.508363,97.957516,98.464798,99.291844
3777.0,98.139605,98.034984,98.217766,98.190779,98.49625,97.965565,98.472163,99.280421
3776.0,98.126612,98.023598,98.205005,98.181259,98.471745,97.971486,98.48069,99.264188
3775.0,98.113966,98.010321,98.188658,98.163388,98.442982,97.974581,98.487955,99.245138
3774.0,98.104557,98.00145,98.173251,98.144189,98.416394,97.976036,98.492942,99.226464
3773.0,98.097692,97.998243,98.159909,98.131034,98.397061,97.976815,98.495215,99.21182
3772.0,98.092566,97.997714,98.149956,98.124462,98.390032,97.976906,98.495164,99.203534
3771.0,98.090343,97.997367,98.148061,98.11938,98.397435,97.976146,98.494387,99.201762
3770.0,98.09265,97.997154,98.158098,98.11468,98.41464,97.974487,98.49403,99.206807
3769.0,98.09904,97.997388,98.17568,98.117325,98.432995,97.972203,98.493361,99.219994
3768.0,98.107432,97.99735,98.191045,98.132723,98.446937,97.971225,98.491422,99.239618
3767.0,98.115764,97.996735,98.200305,98.154706,98.45573,97.9728,98.489123,99.260057
3766.0,98.121375,97.996393,98.206044,98.168161,98.459383,97.975356,98.488919,99.274145
3765.0,98.120486,97.996477,98.209329,98.162743,98.456154,97.975722,98.491855,99.277224
3764.0,98.11103,97.995784,98.206657,98.142982,98.445915,97.97207,98.495445,99.27117
3763.0,98.096064,97.994375,98.195958,98.123572,98.434162,97.965495,98.495895,99.263447
3762.0,98.083431,97.995827,98.18258,98.117601,98.429543,97.958704,98.492472,99.261858
3761.0,98.081081,98.005001,98.176023,98.130512,98.437083,97.954716,98.488556,99.268994
3760.0,98.091025,98.02163,98.18138,98.157778,98.453848,97.955025,98.487078,99.280832
3759.0,98.106073,98.037275,98.193795,98.185991,98.471089,97.957427,98.486349,99.290253
3758.0,98.115024,98.042447,98.204548,98.200862,98.480408,97.957384,98.482984,99.292401
3757.0,98.112734,98.035988,98.210729,98.199132,98.478615,97.952266,98.477515,99.28854
3756.0,98.103751,98.024475,98.21616,98.189625,98.468234,97.943348,98.474205,99.285877
3755.0,98.097171,98.014389,98.226004,98.182094,98.45479,97.933423,98.476833,99.292537
3754.0,98.09854,98.008153,98.24165,98.177769,98.443251,97.924513,98.485738,99.310277
3753.0,98.105519,98.005853,98.258941,98.171285,98.435446,97.918038,98.497629,99.329627
3752.0,98.11097,98.00729,98.271791,98.160595,98.429869,97.914955,98.507275,99.3356
3751.0,98.110022,98.010831,98.280613,98.151382,98.422559,97.912697,98.511021,99.325147
3750.0,98.10305,98.01232,98.291283,98.149804,98.410154,97.906467,98.511122,99.311126
3749.0,98.09277,98.008424,98.306555,98.155845,98.392657,97.897343,98.512955,99.303568
3748.0,98.08245,97.998645,98.322745,98.167385,98.373138,97.890778,98.51603,99.300986
3747.0,98.077859,97.984787,98.332209,98.181693,98.359011,97.88727,98.513165,99.299481
3746.0,98.08553,97.973549,98.330123,98.190737,98.358853,97.882749,98.498582,99.297671
3745.0,98.105654,97.973555,98.329644,98.186443,98.370545,97.873136,98.476342,99.297945
3744.0,98.125311,97.983383,98.342619,98.17789,98.376961,97.856564,98.458506,99.305305
3743.0,98.126626,97.992326,98.352252,98.179488,98.365966,97.839796,98.45158,99.316687
3742.0,98.104626,97.993257,98.345055,98.188603,98.348036,97.83261,98.452043,99.322018
3741.0,98.069427,97.987617,98.333704,98.194105,98.341409,97.832928,98.455258,99.319485
3740.0,98.035653,97.981158,98.333351,98.191978,98.350117,97.831929,98.460038,99.316538
3739.0,98.014097,97.974562,98.343986,98.188321,98.361816,97.824978,98.466079,99.321719
3738.0,98.008972,97.962946,98.35335,98.188961,98.362015,97.815737,98.472255,99.335242
3737.0,98.018522,97.945903,98.3539,98.191046,98.348973,97.812254,98.477443,99.347744
3736.0,98.036217,97.932543,98.350953,98.190758,98.336364,97.820811,98.480945,99.349559
3735.0,98.054017,97.934136,98.354126,98.193133,98.341517,97.839538,98.48169,99.341049
3734.0,98.066994,97.951854,98.366543,98.202964,98.369004,97.856867,98.478522,99.331113
3733.0,98.073843,97.974806,98.384031,98.211779,98.405223,97.860168,98.47091,99.325664
3732.0,98.073259,97.988855,98.397571,98.206722,98.428392,97.845999,98.45879,99.322811
3731.0,98.063716,97.985706,98.397001,98.1869,98.424306,97.82267,98.443239,99.3171
3730.0,98.047289,97.967083,98.379523,98.164858,98.396222,97.802666,98.426948,99.305778
3729.0,98.030806,97.943352,98.354134,98.154291,98.361932,97.792772,98.413776,99.292426
3728.0,98.021721,97.927444,98.333904,98.159313,98.340581,97.793028,98.407842,99.282857
3727.0,98.022869,97.92677,98.325933,98.173572,98.339524,97.800177,98.411118,99.279901
3726.0,98.030419,97.938307,98.326081,98.187059,98.350583,97.80961,98.42039,99.282952
3725.0,98.037914,97.953413,98.323383,98.191927,98.359944,97.817669,98.428974,99.290079
3724.0,98.042463,97.967187,98.311652,98.185736,98.361311,97.823917,98.432899,99.29911
3723.0,98.046368,97.981148,98.294709,98.173091,98.358324,97.831007,98.433665,99.307196
3722.0,98.053396,97.997951,98.281513,98.16337,98.358944,97.841367,98.434937,99.312103
3721.0,98.064262,98.016364,98.276106,98.163715,98.369879,97.856522,98.438945,99.312413
3720.0,98.076569,98.032299,98.276034,98.172669,98.393224,97.876985,98.445792,99.308708
3719.0,98.087811,98.042252,98.27775,98.182398,98.424873,97.901184,98.454735,99.304317
3718.0,98.097221,98.045286,98.280576,98.186406,98.455374,97.925427,98.465193,99.301666
3717.0,98.105248,98.042729,98.286899,98.186131,98.475108,97.944153,98.475718,99.300757
3716.0,98.112144,98.036521,98.296823,98.188063,98.480374,97.952067,98.483508,99.300833
3715.0,98.11751,98.02747,98.305317,98.195269,98.474247,97.945612,98.485984,99.302269
3714.0,98.120609,98.015477,98.303634,98.20367,98.461973,97.925207,98.483425,99.304992
3713.0,98.120962,98.001617,98.287207,98.206071,98.447167,97.898796,98.480065,99.305096
3712.0,98.118069,97.989009,98.264372,98.19995,98.432686,97.878984,98.479314,99.298159
3711.0,98.110533,97.981424,98.249365,98.190209,98.424027,97.87291,98.479516,99.285287
3710.0,98.097934,97.980186,98.249072,98.183545,98.426606,97.877286,98.477116,99.272242
3709.0,98.083528,97.984484,98.261945,98.181897,98.439128,97.883611,98.472222,99.264144
3708.0,98.072272,97.993193,98.283446,98.183991,98.454152,97.88652,98.4676,99.261836
3707.0,98.06718,98.005572,98.30839,98.189846,98.464964,97.885627,98.464776,99.26304
3706.0,98.068177,98.020582,98.329971,98.201467,98.469646,97.884175,98.462949,99.26517
3705.0,98.072701,98.035051,98.339205,98.218627,98.469149,97.886737,98.46064,99.266706
3704.0,98.077176,98.044166,98.329652,98.234559,98.464651,97.89632,98.458724,99.267003
3703.0,98.078192,98.044619,98.303131,98.238592,98.456378,97.912281,98.460456,99.265313
3702.0,98.074407,98.038969,98.272262,98.226528,98.445846,97.927955,98.468384,99.262574
