ν	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada  Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada  Eppendorf	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3955.0	98.130611	97.915301	97.017961	97.603386	97.933259	98.090877	98.36179	99.240048	98.415147	98.178414	98.015196	97.664069
3954.0	98.138854	97.932876	97.027711	97.609224	97.943933	98.096214	98.364773	99.240123	98.42185	98.188256	98.022171	97.674571
3953.0	98.145048	97.944746	97.039965	97.617453	97.953652	98.108752	98.36979	99.239312	98.424775	98.195604	98.030372	97.685095
3952.0	98.150884	97.948712	97.050991	97.627687	97.961889	98.127127	98.376893	99.242123	98.427468	98.200717	98.039403	97.692995
3951.0	98.156131	97.94724	97.057717	97.638382	97.968013	98.14717	98.383025	99.250312	98.431111	98.20258	98.045298	97.694722
3950.0	98.159071	97.945352	97.060391	97.649135	97.971299	98.16421	98.386416	99.261711	98.433318	98.20035	98.044734	97.690745
3949.0	98.158914	97.94695	97.061168	97.660145	97.971389	98.1747	98.389019	99.272214	98.431512	98.195528	98.038533	97.685948
3948.0	98.157032	97.952288	97.061207	97.670079	97.968885	98.176798	98.39354	99.278964	98.426859	98.191193	98.03082	97.685025
3947.0	98.155567	97.958659	97.060162	97.675589	97.965583	98.170178	98.399296	99.281925	98.423775	98.18918	98.025521	97.688264
3946.0	98.155407	97.963226	97.057854	97.673626	97.96373	98.155875	98.402365	99.282696	98.425407	98.189152	98.024257	97.6921
3945.0	98.155999	97.965187	97.055372	97.664628	97.964789	98.136821	98.39948	99.282344	98.430253	98.190142	98.026659	97.692933
3944.0	98.157026	97.965812	97.054744	97.653554	97.968547	98.118506	98.391334	99.280764	98.433641	98.191949	98.031782	97.690281
3943.0	98.160073	97.967021	97.057708	97.64731	97.972943	98.107621	98.382164	99.278306	98.43229	98.194895	98.039651	97.68685
3942.0	98.167813	97.96899	97.063407	97.649146	97.975113	98.106955	98.376407	99.276123	98.427028	98.198613	98.050399	97.68481
3941.0	98.180518	97.969308	97.068178	97.655594	97.973582	98.111832	98.375843	99.273908	98.421011	98.201297	98.0619	97.682933
3940.0	98.194131	97.965923	97.068746	97.660464	97.969372	98.113912	98.379613	99.269236	98.416153	98.200651	98.070174	97.678874
3939.0	98.202533	97.960454	97.065183	97.660874	97.964471	98.108307	98.385543	99.26075	98.412794	98.19591	98.072604	97.673241
3938.0	98.201819	97.957192	97.060586	97.658097	97.959826	98.09686	98.39145	99.251178	98.412504	98.188861	98.069923	97.669677
3937.0	98.192575	97.958737	97.057945	97.653771	97.955231	98.085317	98.395995	99.246022	98.417761	98.182863	98.065431	97.670247
3936.0	98.178778	97.962936	97.057535	97.64708	97.950528	98.077772	98.398224	99.248266	98.427812	98.180826	98.061906	97.671709
3935.0	98.16547	97.964818	97.057669	97.63705	97.946156	98.074437	98.396554	99.255003	98.436721	98.183519	98.059435	97.668327
3934.0	98.156839	97.960865	97.056469	97.625456	97.942395	98.072623	98.389087	99.259336	98.437597	98.189185	98.055223	97.65776
3933.0	98.155024	97.951587	97.052911	97.616686	97.938874	98.069584	98.375699	99.255967	98.429421	98.194748	98.046349	97.643934
3932.0	98.159381	97.940831	97.046706	97.614809	97.93558	98.064738	98.359744	99.245623	98.418346	98.198055	98.033883	97.633821
3931.0	98.166891	97.933253	97.038755	97.621122	97.933971	98.060221	98.346634	99.234669	98.411895	98.199405	98.023954	97.632159
