ν,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
3883.0,98.195578,97.995598,98.040622,97.990213,97.962825,98.392477,97.908213,98.447484,98.464199,98.199058,97.618956,98.596303
3882.0,98.209134,97.999951,98.036969,97.982951,97.967115,98.402045,97.913495,98.444828,98.480453,98.20419,97.616756,98.60014
3881.0,98.215662,97.994113,98.033124,97.974801,97.972283,98.421941,97.920556,98.444971,98.482643,98.207942,97.612979,98.600035
3880.0,98.212655,97.985192,98.031479,97.970361,97.979553,98.440628,97.92628,98.449633,98.46976,98.209394,97.613532,98.598574
3879.0,98.204975,97.980838,98.033153,97.969851,97.987037,98.446111,97.927523,98.457154,98.454591,98.20997,97.620109,98.600148
3878.0,98.198018,97.981367,98.036801,97.970043,97.992566,98.436845,97.925363,98.463844,98.450852,98.209042,97.628438,98.606698
3877.0,98.193573,97.983669,98.040048,97.969061,97.996301,98.42067,97.922867,98.466542,98.458959,98.204842,97.63451,98.616823
3876.0,98.192508,97.987027,98.040884,97.969266,98.000926,98.406708,97.921827,98.465635,98.469466,98.198607,97.638817,98.626947
3875.0,98.194718,97.994298,98.037826,97.974426,98.008873,98.399493,97.922027,98.465138,98.4751,98.195067,97.643772,98.632582
3874.0,98.197462,98.008039,98.032429,97.9842,98.018338,98.398345,97.921167,98.468207,98.477059,98.19918,97.650231,98.631652
3873.0,98.199098,98.024322,98.030311,97.99319,98.023602,98.400989,97.917278,98.473233,98.483792,98.212585,97.65667,98.626639
3872.0,98.201839,98.03258,98.036052,97.996567,98.019889,98.406205,97.912772,98.475979,98.499421,98.231248,97.659972,98.62125
3871.0,98.207659,98.026412,98.045803,97.994816,98.007845,98.412372,97.913203,98.474662,98.514084,98.245748,97.656672,98.615545
3870.0,98.214571,98.013282,98.050133,97.992661,97.992957,98.415779,97.920605,98.471867,98.513313,98.247343,97.647631,98.607943
3869.0,98.219593,98.005974,98.047653,97.994169,97.98065,98.413432,97.931551,98.471323,98.497371,98.236411,97.640937,98.601988
3868.0,98.223653,98.007942,98.045202,97.998017,97.973093,98.407865,97.941749,98.473669,98.482006,98.222252,97.641814,98.603013
3867.0,98.229439,98.01413,98.045998,97.999521,97.970246,98.405392,97.947097,98.476687,98.47542,98.214015,97.646274,98.610003
3866.0,98.234898,98.017019,98.047346,97.997107,97.972537,98.408945,97.944688,98.47898,98.470351,98.213206,97.64844,98.616352
3865.0,98.232242,98.011615,98.047056,97.993846,97.979915,98.414593,97.93716,98.480766,98.46,98.212896,97.647994,98.61719
3864.0,98.217107,98.000949,98.046653,97.993318,97.988747,98.41595,97.931271,98.481166,98.447342,98.206592,97.648884,98.613425
3863.0,98.195367,97.994343,98.047719,97.995437,97.994317,98.41194,97.930468,98.478128,98.440223,98.196908,97.652267,98.608666
3862.0,98.179079,97.998345,98.046809,97.996351,97.996746,98.408308,97.930815,98.471177,98.443719,98.192639,97.653729,98.604052
3861.0,98.175564,98.009462,98.040386,97.993528,98.000166,98.410571,97.926866,98.462689,98.456273,98.199047,97.650764,98.599404
3860.0,98.182172,98.016876,98.030417,97.989275,98.006131,98.417149,97.919416,98.456763,98.472145,98.213636,97.646013,98.594825
3859.0,98.188852,98.013778,98.021751,97.988346,98.010666,98.420644,97.914426,98.457264,98.484093,98.228532,97.641811,98.589203
3858.0,98.186655,98.005065,98.017088,97.992999,98.008259,98.41425,97.916479,98.46542,98.486826,98.237598,97.636219,98.580485
3857.0,98.17471,98.002244,98.01621,98.001031,97.997129,98.397506,97.924433,98.478364,98.481325,98.24121,97.627133,98.569824
3856.0,98.160358,98.010026,98.018258,98.008275,97.981512,98.378162,97.933774,98.490175,98.474691,98.243049,97.618204,98.563599
3855.0,98.15149,98.019584,98.021839,98.013243,97.96935,98.368153,97.941353,98.496505,98.473516,98.240501,97.615986,98.565937
3854.0,98.150016,98.025215,98.016867,98.013238,97.96281,98.369959,97.941467,98.496263,98.473174,98.223161,97.614749,98.568094
3853.0,98.15332,98.033178,98.000586,98.005866,97.953283,98.36962,97.9258,98.48868,98.462757,98.193312,97.608672,98.563278
3852.0,98.158104,98.038699,97.989052,97.995617,97.935009,98.358888,97.902908,98.476275,98.450012,98.169216,97.605155,98.559778
3851.0,98.160213,98.030213,97.992872,97.987839,97.914443,98.34685,97.89313,98.46438,98.449849,98.160437,97.608648,98.564317
3850.0,98.160178,98.012786,98.005523,97.983004,97.90345,98.346915,97.900104,98.455355,98.455996,98.166312,97.614789,98.572979
3849.0,98.164283,97.998545,98.018572,97.981577,97.910168,98.366625,97.913597,98.449638,98.458775,98.18398,97.621041,98.580979
3848.0,98.177939,97.994469,98.028406,97.984211,97.932638,98.400199,97.923563,98.44697,98.461212,98.207866,97.627328,98.587348
3847.0,98.199044,97.99911,98.035953,97.990726,97.960938,98.433101,97.92698,98.447234,98.468178,98.23,97.633721,98.59338
3846.0,98.218522,98.00583,98.042032,97.998942,97.985906,98.454171,97.926199,98.450764,98.478128,98.243463,97.638695,98.599583
3845.0,98.227946,98.008325,98.044586,98.005314,98.004482,98.460437,97.92411,98.457599,98.485387,98.246168,97.640556,98.605207
3844.0,98.226034,98.00478,98.040968,98.008265,98.017569,98.454884,97.922098,98.46689,98.486186,98.241873,97.639999,98.609027
3843.0,98.216476,97.998195,98.032421,98.009942,98.024984,98.442417,97.921177,98.477597,98.481165,98.235695,97.639681,98.610265
3842.0,98.204883,97.993846,98.02351,98.013193,98.023927,98.42784,97.921852,98.488789,98.474931,98.229926,97.640605,98.608639
3841.0,98.196273,97.9941,98.019312,98.019194,98.012025,98.415302,97.924089,98.499447,98.472419,98.224004,97.64213,98.604822
3840.0,98.193588,97.996936,98.022626,98.027321,97.992278,98.408008,97.927888,98.507886,98.475786,98.216877,97.644223,98.600594
3839.0,98.19795,98.000295,98.032051,98.035339,97.974457,98.40795,97.93242,98.511714,98.484359,98.209396,97.648416,98.598243
3838.0,98.208801,98.004999,98.042838,98.040454,97.968423,98.414968,97.936183,98.509349,98.495607,98.205149,97.655704,98.598863
3837.0,98.222044,98.011655,98.049716,98.040892,97.975935,98.427022,97.938543,98.501875,98.506003,98.206555,97.663545,98.601054
3836.0,98.230926,98.017311,98.051128,98.037178,97.990959,98.441916,97.941213,98.492346,98.512335,98.211598,97.668022,98.602693
3835.0,98.230989,98.018496,98.049759,98.031063,98.005907,98.457266,97.946385,98.483503,98.512533,98.216722,97.667665,98.603263
3834.0,98.2243,98.015215,98.048425,98.023195,98.015659,98.469289,97.953589,98.476568,98.505813,98.221463,97.663382,98.603934
3833.0,98.216536,98.009799,98.047814,98.013641,98.018267,98.473221,97.960274,98.472118,98.492958,98.227892,97.656995,98.6058
3832.0,98.211452,98.004508,98.047389,98.003707,98.014398,98.466599,97.963761,98.471069,98.476417,98.235864,97.6504,98.608208
3831.0,98.209522,98.000123,98.047226,97.996007,98.006817,98.452607,97.962624,98.473809,98.46095,98.241116,97.64536,98.609292
3830.0,98.209723,97.995285,98.048109,97.992538,97.999577,98.43944,97.957749,98.478538,98.452335,98.238809,97.642641,98.607666
3829.0,98.212059,97.988991,98.049529,97.992732,97.997316,98.436073,97.950909,98.481494,98.453177,98.228235,97.640973,98.60317
3828.0,98.218856,97.98276,98.049178,97.995013,98.003754,98.446306,97.943405,98.480358,98.460874,98.214326,97.638628,98.596776
3827.0,98.230339,97.97923,98.04592,97.99989,98.018066,98.463797,97.937055,98.477608,98.469673,98.203024,97.636553,98.590713
3826.0,98.241114,97.979488,98.0414,98.008622,98.032828,98.474093,97.934139,98.478436,98.475498,98.195194,97.637473,98.587849
3825.0,98.243815,97.981404,98.038536,98.01931,98.038243,98.465741,97.935717,98.484589,98.478891,98.1873,97.64222,98.590315
3824.0,98.235653,97.980416,98.039099,98.026773,98.029967,98.440625,97.940539,98.491906,98.481617,98.178119,97.648502,98.597917
3823.0,98.220271,97.972052,98.042686,98.027508,98.014249,98.415579,97.946134,98.494998,98.482571,98.171465,97.653145,98.606894
3822.0,98.205273,97.958881,98.044532,98.023166,98.003786,98.411235,97.950149,98.493103,98.479017,98.171911,97.652938,98.609673
3821.0,98.196882,97.952711,98.039896,98.019216,98.003824,98.431227,97.949284,98.490042,98.469026,98.179591,97.649167,98.60226
3820.0,98.196134,97.958358,98.033442,98.020235,98.005963,98.457236,97.943707,98.489732,98.457684,98.190059,97.648957,98.591055
3819.0,98.199627,97.966095,98.03332,98.025209,97.999674,98.468607,97.940741,98.492692,98.454668,98.197426,97.654252,98.584604
3818.0,98.202805,97.967569,98.041128,98.028882,97.985642,98.460234,97.945088,98.495434,98.458644,98.199418,97.659235,98.58516
3817.0,98.203819,97.965188,98.05246,98.028259,97.976399,98.443971,97.953491,98.494997,98.46231,98.198999,97.658802,98.589517
3816.0,98.203953,97.968723,98.06341,98.025585,97.982177,98.43434,97.959561,98.492517,98.464645,98.199393,97.655611,98.594451
3815.0,98.206599,97.983232,98.075022,98.024305,97.998321,98.434098,97.960788,98.490682,98.469092,98.200967,97.657646,98.601125
3814.0,98.213886,98.001842,98.087821,98.023851,98.011733,98.437854,97.960569,98.489895,98.478632,98.202494,97.66695,98.610511
3813.0,98.222825,98.015087,98.096903,98.021105,98.01582,98.442053,97.961719,98.488722,98.489565,98.202813,97.677475,98.618215
3812.0,98.227618,98.019855,98.09607,98.014578,98.015057,98.446386,97.962197,98.486394,98.495792,98.201348,97.683306,98.618734
3811.0,98.225228,98.017952,98.084503,98.005566,98.016666,98.450223,97.959551,98.483215,98.499315,98.198655,97.683715,98.611899
3810.0,98.217881,98.012471,98.067422,97.996075,98.020806,98.452065,97.954066,98.479158,98.505288,98.196729,97.680772,98.602735
3809.0,98.210916,98.005216,98.051323,97.987663,98.021339,98.452629,97.947419,98.473722,98.5109,98.19754,97.675421,98.595925
3808.0,98.207539,97.997809,98.038224,97.982264,98.014286,98.454406,97.940087,98.468025,98.506353,98.200283,97.666424,98.590465
3807.0,98.206548,97.994455,98.027273,97.982676,98.003471,98.457506,97.93107,98.465709,98.487721,98.201523,97.655022,98.582719
3806.0,98.207346,97.999075,98.019014,97.989487,97.996517,98.459159,97.920482,98.469625,98.466545,98.199591,97.646006,98.573354
3805.0,98.213056,98.010524,98.015119,97.998741,97.995927,98.457536,97.911505,98.478301,98.459012,98.196304,97.641932,98.566764
3804.0,98.227756,98.024275,98.0148,98.003929,97.998024,98.453837,97.906261,98.486597,98.46648,98.194832,97.640857,98.565707
3803.0,98.248989,98.033475,98.015541,98.001684,97.999338,98.450918,97.905272,98.490182,98.475829,98.196026,97.640678,98.569765
